title,date,run_time,genre,rating,introduction,director,stars,num_votes
Megatown,2023-01-28,61,"Comedy, Musical, Western",8.8,"Villains are on their way to the idyllic western town of Megatown, hoping to get their hands on the magical herbs the residents grow which give everyone such a wonderful singing voice. Will they be able to resist the attack?","Frøydis Fossli Moe, Mattias Høyem, Kjetil Sviland","Vinbæk Strand Alexander, Line Stablum Andersen, Thor Andrè Dyrhovd, Claus Michael Fasting",11
Mudos testigos,2023-01-28,78,Drama,7.2,"The historical frames of Colombian silent films serve, once recovered and re-edited, to tell a new fictional narrative: the impossible romance between Efrain and Alicia.",Jerónimo Atehortúa Arteaga,,15
I Am Here!,2023-01-28,70,Drama,5.7,"Monika and Martin have known each other since childhood. After having no contact for many years, they walk through the forest of their past in search of hidden memories.",Ludwig Wüst,"Markus Schramm, Martina Spitzer",10
Polako nikuda,2023-01-28,72,Drama,4.4,"The characters in this dreamy, experimental love story, live ten years in the future, but are nostalgic and seem born in the wrong time. Film student Oleg leads a spartan life and surrounds...",Damir Cucic,"Katarina Arbanas, Jura Ruza, Eva Magdic Govedarica, Bojan Peric",7
Ridicule,2023-01-28,,Drama,,Oliver's mother will stop at nothing to undo his marriage and pair him with a woman of her choice - a decision that results in the unexpected.,Mike Ezuruonye,"Stan K. Amandi, Vivica Anuforo, Eze Ebuka, Mike Ezuruonye",
Füür brännt,2023-01-28,75,,7.4,"Three groups, their dynamics and moods over the course of a day. In unspectacular scenes from everyday life the group is shown as an intimate space, where like in an entangled set of gears,...",Michael Karrer,"Nadim Ben Saïd, Matia Frei, Nadège Kanku, Umberto Norelli",10
The Made Man,2023-01-28,71,Comedy,,,Drew Hanks,"Roy Allen, Eliot, Drew Hale, Rob Lanza",
Unmasked,2023-01-28,47,Mystery,,When you find yourself surrounded by your 'own' people - each veiling their own vile vices behind their sparkling smiles - can you really unmask the real culprit? Join us on this murder mystery whodunit to test your investigative mettle.,"Rajesh Gopalakrishnan, Anindita Ghosh, Neeraja Rao","Sarab Kapoor, Vandana Tikku, Anindita Ghosh, Rajesh Dadlani",
Shave Hair Movement Film,2023-01-28,,,,,Cice Rivera,"Keanu Blye, Inez Camacho, Cice Rivera",
Honoring Eric Bentley: A Centennial Tribute Concert,2023-01-28,,Music,,"Eric Bentley is one of the most respected theater critics, playwrights, editors and translators of our time. For his 100th birthday, a galaxy of stars honored Bentley at Broadway's ...",Warren Elgort,"Roger Copeland, Elliot Forrest, Louise Kerz, Tony Kushner",
Gina the Laundry Girl,2023-01-28,93,,,,Emmanuel Akaemeh,"Lydia Achebe, Emmanuel Akaemeh, Solomon Akaemeh, Ayodele Ayomide",
Mult v kino. Vypusk # 152,2023-01-28,45,Animation,,"The be-be-bears will find the lighthouse, Katya and Ef will find out who is the strongest among the animals, the turtles will come up with their own song, the cats and dogs will learn about...","Olga Alifonova, Anna Amosova, Elena Filippik, Kseniya Gladkova, Aleksey Ignatov, Anton Khudyakov, Tatyana Novikova, Nikita Pogodayev, Ekaterina Polyakova, Mila Rumyantseva, Rafael Ter-Sargsyan, Polina Zubtsova",,
ParlaNchíno Ateo: Errorista Comunista 33,2023-01-28,70,Comedy,,,Jorge Luis Villacorta Santamato,Jorge Luis Villacorta Santamato,
Edge of Emotions,2023-01-28,,Drama,,,Stephen Ekeso,"Katouchka Addaquay, Shadrack Agyare, Naeem Fakih, Jeffery Nortey",
La visite de trop,2023-01-28,,"Comedy, Drama",,,Césaire Kafando,"Philippe Ilboudo, Limachel, Korotimi Niamba, Saada Sanfo",
Luka,2023-01-29,94,"Drama, Scifi",6.7,"Luka, a young soldier craving battle, embeds himself in an isolated fort where men have been waiting in vain for ages for a mythical enemy to strike. A contemporary adaptation of Dino Buzzati's classic novel 'The Tartar Steppe'.",Jessica Woodworth,"Jonas Smulders, Geraldine Chaplin, Jan Bijvoet, Sam Louwyck",74
Come pecore in mezzo ai lupi,2023-01-29,100,"Crime, Drama, Thriller",6.9,"A policewoman infiltrated in a criminal gang looks for revenge and redemption, surviving in an unforgiving world of deranged men.",Lyda Patitucci,"Isabella Ragonese, Andrea Arcangeli, Carolina Michelangeli, Aleksandar Gavranic",48
En dag kommer allt det här bli ditt,2023-01-29,105,"Comedy, Drama, Music",6.4,"Successful cartoonist Lisa and her siblings gather at their parents' farm for the first time in over ten years. The parents want only one of them to inherit the forest, which has been in the family's possessions for generations.",Andreas Öhman,"Peter Haber, Suzanne Reuter, Emil Almén, Filip Berg",280
Neljä pientä aikuista,2023-01-29,122,Drama,7.4,"A middle-aged couple who, in the middle of an infidelity crisis, decide to open their marriage and venture into polyamory.",Selma Vilhunen,"Vilhelm Blomgren, Alma Pöysti, Eero Milonoff, Oona Airola",61
The Sea Monster,2023-01-29,75,Action,,"Ancient China around Ming, sailing into the vast ocean was an honorable mission. LinXiao promised his fiancee LuQi to bring her father back but broke his words after a colossal sea monster ...",LiuWa,"CiSha, Yu Feng, Tielong Shang, Ziqi Ye",
Viften,2023-01-29,93,"Comedy, Drama, History",7.5,"St. Croix, the Danish West Indies, 1848. Anna and Petrine are close friends. Both are women of color, but Anna is free and owns her housekeeper, the enslaved Petrine. Things are seemingly fine until rumors of a rebellion begin to swirl.",Frederikke Aspöck,"Anna Neye, Sara Fanta Traore, Claus Riis Østergaard, Jesper Groth",70
Böse Spiele - Rimini Sparta,2023-01-29,205,Drama,7.5,"Two Austrian brothers try to find happiness abroad, while their father, who suffers from dementia, makes the same rounds day after day in the old-age home.",Ulrich Seidl,"Georg Friedrich, Tessa Göttlicher, Claudia Martini, Inge Maux",24
La Palisiada,2023-01-29,100,"Crime, Drama",7.1,"Ukraine, 1996. 5 months before the moratorium on the death penalty, two old friends, a police detective and a forensic psychiatrist, investigate a murder of their colleague.",Philip Sotnychenko,"Andrii Zhurba, Novruz Hikmet, Valeria Oleinikova, Oleksandr Parkhomenko",34
Follower,2023-01-29,100,Drama,7.2,"In a town riddled with territorial disputes, a radicalized journalist believes in exposing the atrocities faced by his community. But as the line between his professional and personal life ...",Harshad Nalawade,"Sudip Bilawar, Shalini Chougule, Atul Deshmukh, Amit Devrushi",19
Moha,2023-01-29,103,Drama,7.6,"The deliberately slender storyline involves a spiritual male hermit, a female nymph who tempts him into secular ways of the flesh, and a rival lover.",Santosh Sivan,"Jaaved Jaaferi, Shaylea K",7
Beyond the Fences of Lâlehzâr,2023-01-29,72,Drama,,"Prompted by a faceless woman who confronts him about his childhood, a man sets out on an elliptical journey through his memory that obscures the boundaries between past and present, reality and fiction, and dream and waking state.",Amen Feizabadi,"Majid AghaKarimi, Ainaz Azarhoush, Elham Korda, Respina String Quartet",
"If Yes, Okay",2023-01-29,93,Comedy,5,"If Yes, Okay about a teenager, Amy, who goes to extreme lengths to reject her obscenely wealthy background.",Dick Verdult,"Harun Bahasoean, Peter Fengler, Izah Hankammer, July Janssen",8
Natura,2023-01-29,69,"Mystery, Thriller",5.9,An unsettling mystery about desperation and class divisions in the age of digital capitalism.,Matti Harju,"Jarmo Kämäräinen, Juha Lilja, Asko Lintunen, Anu Sylgren",16
Night Owl,2023-01-29,50,"Biography, Comedy, Drama",,Night Owl is the story of a Maltese expat on his last night in Seoul. He's extremely hesitant to come home - can he even call it home any longer? He is anxious and uncertain about his ...,"Franco Rizzo, Rachel J. Goodgion","Matthew Cesario, Kim Jungsun, Franco Rizzo, Renée Simon",
Represa,2023-01-29,77,Drama,7,"Lucas crosses Brazil to visit his late mother's birthplace. In order to sell a piece of land that she owned, he approaches Robson, a brother he never met. When Lucas meets his niece, she can tell right away that something is wrong.",Diego Hoefel,"Renato Linhares, Gil Magalhães, Jenniffer Joingley, David Santos",8
Skapparoneday: Punk Up the Jams (Full Movie),2023-01-29,,Music,,,Paul Davis Griffin,"Kevin Joel Anderson, Najee Banks, Paul Davis Griffin",
La danza de los insectos,2023-01-29,100,Drama,,"Triana, a low-class girl, must deal with an internal crisis in the middle-class criminal organization she works for, when an unexpected friend appears out of nowhere to try to help her. Neither more nor less than A talking apple.",Alberto Campón,"Caly Hernández, Alberto Campón, Santi Senso, Amalia Toba",
East Meets West,2023-01-29,,Comedy,,"Temitope is delighted to get engaged but sparks fly when she meets her fiancé's mother, who immediately disapproves of her.",Paul Iheanyichukwu Igwe,"Ogbolo Benstowe, Mary Lazarus, Chioma Nwosu, Melvin Oduah",
Nitrate: To the Ghosts of the 75 Lost Philippine Silent Films (1912-1933),2023-01-29,62,,,,Khavn,"Jaime de la Rosa, Ramon Revilla, Ronald Remy, Amalia Fuentes",
Landen,2023-01-29,64,,,"An essay about Lebanon (mainly) and Germany (also), about coastlines and plants like the marsh samphire, the milk thistle, the angel trumpet or the crimson bottlebrush. About adaptation and...",Vanessa Nica Müller,Samia Muriel Chancrin,
Wu di si ke te,2023-01-29,85,,5.7,"A small-town boy finds salvation in ""gaga dance"", a freestyle flooding real streets and viral streams.",Yuhan Teng,"Jiannan Qiao, Mengli Zhu, Kennedy, Xueqing Cai",11
Deathgame,2023-01-29,100,Thriller,,"When employees of the FBI are targeted by a serial killer, agents team up with local detectives to track the suspect down before he strikes again. With time running out, the investigators ...",J. Christopher Thomas,"Brianne Bales, Brinley Bales, Kameron Bell, Logan Bell",
ParlaNchíno Ateo: Errorista Comunista 34,2023-01-29,76,Comedy,,,Jorge Luis Villacorta Santamato,Jorge Luis Villacorta Santamato,
Life with Bubba: Family Reunion,2023-01-29,,Comedy,,"Bubba and Mule are at it again, and this time they have to get ready for the Claremore Family Reunion.",James Wilkerson,"Brad Orrison, Perry Meyers, Tristan Dunn, Kikie Orrison",
Pustaya tserkov,2023-01-29,100,Drama,6.3,"A young priest arrives in a provincial town. Thanks to a non-trivial approach to his role as a clergyman, he manages to show what true love for one's neighbor is. He buys a café where he ...",Maks Maksimov,"Anzhelika Barchan-Orlova, Vladimir Bozhkov, Maksim Braginetz, Mikhail Kaminsky",10
Un Día Con El Diablo,2023-01-29,,Thriller,,,Jomi Santelises,"Franklin Willy, Jomi Santelises, Joendry Morel García, Leonidas Contreras",
A House in Jerusalem,2023-01-30,103,Drama,8.1,"Follows a Jewish-British girl who is moved from England to Jerusalem for a new start that can help her heal from the death of her mother, but in the way she meets with the ghost of a Palestinian girl who was separated from her family.",Muayad Alayan,"Johnny Harris, Miley Locke, Sheherazade Makhoul Farrell, Jiana Awwad",44
København findes ikke,2023-01-30,99,Drama,6.1,"A young woman named Ida disappears without a trace. Her boyfriend voluntarily lets himself be locked up to be questioned by Ida's father and brother, but Sander does not tell the whole truth.",Martin Skovbjerg,"Angela Bundalovic, Jonas Holst Schmidt, Zlatko Buric, Vilmer Trier Brøgger",125
100 årstider,2023-01-30,104,Drama,8.2,"A multi-faceted portrait of Giovanni Bucchieri, former dancer at the Royal Swedish Ballet, now an artist keen of fusing disciplines. His ever-elusive, often-tortured self is presented in new aesthetic approaches ans styles.",Giovanni Bucchieri,"Giovanni Bucchieri, Louise Peterhoff, Karin Franz Körlof, David Lagerqvist",31
Pay the Lady,2023-01-30,,Thriller,8.1,"Pay the Lady is an urban neo-noir thriller. Tired of being physically abused, Star Robinson, the girlfriend of a drug kingpin, plots to steal his Bitcoin fortune. In order to succeed, Star ...",Lina Green,"Lauryn Ford, Dushaun Thompson, Maurice Whitfield, Robert Dobson",36
Before the buzzards arrive,2023-01-30,96,"Fantasy, Mystery",7.4,"Tuza, a tough and dominant fisherwoman, will have to help Luvina on a quest that will confront them with their desires and loneliness.",Jonás N. Díaz,"Tsaya Esquivel, María del Carmen Félix, Francisco Pita",11
A longa viagem do ônibus amarelo,2023-01-30,432,,,"In this 7-hour-plus behemoth, Bressane re-edits his complete works, moving backwards and forwards between decades. The '60s, the '80s and the 2000s comment on each other in a way that sheds light on the director's themes and obsessions.","Júlio Bressane, Rodrigo Lima",,
Las demás,2023-01-30,80,"Comedy, Drama",7,"University student Rafaela's carefree life is shaken when she falls pregnant. Desperate to get an abortion in a country where doing so could land her in jail and unable to fund one illegally, she teams up with her best friend Gabriela.",Alexandra Hyland,"Nicole Sazo, Alicia Rodríguez, Eyal Meyer",6
The Inn Between,2023-01-30,,Drama,,,Max Mayer,Terry Walters,
Under the Hanging Tree,2023-01-30,90,Crime,6,In the stark desert landscape of the Kalahari a troubled police officer battles to keep her small town from being ripped apart by a horrific murder and the ghosts from a colonial past.,Perivi Katjavivi,"Girley Jazama, Antonio David Lyons",5
Bull,2023-01-30,100,Action,,"A grief-stricken alcoholic is befriended by a little girl. When tragedy occurs, he must choose between his addiction and hunting a man-eating bull shark.",David Kotkin,"Glenn Cutler, Rachel Kotkin",
To Kill a Ghost,2023-01-30,122,Drama,,,Mike Ezuruonye,"Pat Akpabio, Lovelin Akpan, Treasure Bassey, Fortune Daniels",
Panna opetana,2023-01-30,55,"Biography, Drama, History",,"A biographical story of the youth of Anna Henryka Pustowójtówna, a heroine of the January Uprising, adjutant of the dictator Marian Langiewicz, a legendary freedom fighter in Europe at that time.",Maciej Pawlicki,"Monika Pawlicka, Halina Labonarska, Kamil Przystal, Piotr Cyrwus",
Lokti Shot Chilo,2023-01-30,,Drama,,"It can be seen in the story of the drama, if too honest, the family becomes miserable, the family is also in the eyes of the relatives.",Mabrur Rashid Bannah,"Ziaul Faruq Apurba, Rocky Khan, Shoab Monir, Siam Nasir",
Karparaa,2023-01-30,71,Drama,,An elderly bedridden couple hailing from a small village. Lives apart from each other in their son's houses.The space of love shrivels and oscillates between the couple and their families. ...,Vignesh Kumulai,Sundharammal,
National Anarchist: Lino Brocka,2023-01-30,70,,,,Khavn,"Nora Aunor, Christopher De Leon, Hilda Koronel, Carmi Martin",
ParlaNchíno Ateo: Errorista Comunista 35,2023-01-30,77,Comedy,,,Jorge Luis Villacorta Santamato,Jorge Luis Villacorta Santamato,
Wees Net Jouself!,2023-01-30,70,"Drama, Musical",,Tory is a rapper from the hood trying to chase his dreams while a hooligan rapper destroy his legacy. At the end Tory finds his inspiration to make a big success of his music career.,"Geraldo Gershwin Saal, Juandre Saal","Geraldo Gershwin Saal, Juandre Saal, Chazlee Cloete",
Angithee 2,2023-01-31,79,Drama,8,"Kavya, a married woman, lives a dull life with her husband Rajeev in a small town of Jammu. Sick of the monotonous routine, she seeks happiness and excitement. This is when a young boy enters her life and makes her feel liberated.",Shoib Nikash Shah,"Rishi Bhutani, Fezan Khan, Shafaq Naaz",27
Notas sobre un verano,2023-01-31,83,"Drama, Romance",6.1,"Young academic who leaves routines, obligations and her boyfriend back in Madrid for a carefree summer in her hometown on the Atlantic coast.",Diego Llorente,"Katia Borlado, Antonio Araque, Álvaro Quintana, Rocío Suárez",22
"Bo Legs: Marvin Arrington, Sr., an Atlanta Story",2023-01-31,116,,8.6,"Marvin Arrington, Sr. is one of Atlanta's most significant political leaders yet one of its least recognized. Born in Atlanta, then a segregated, provincial town of the Deep South Arrington...",Adelin Gasana,"Marvin Arrington Sr., Roy Barnes, Shirley Franklin, Monica Kaufman Pearson",5
Les âmes soeurs,2023-01-31,100,Drama,6.1,"A lieutenant from a contingent of the French army stationed in Mali, who is seriously injured when his armoured vehicle explodes.",André Téchiné,"Noémie Merlant, Benjamin Voisin, Audrey Dana, André Marcon",70
Alive,2023-01-31,,Horror,5.1,"Helen navigates a ravaged world with her boyfriend Kevin and her little brother Barney. Desperate to find help after Barney's infection slowly turns him into a zombie, they come upon a house where lives Dan, a man harboring a heavy secret.",David Marantz,"Ellen Hillman, Kian Pritchard, Neil Sheffield, Stuart Matthews",26
Fatal Addiction: Amy Winehouse,2023-01-31,61,Crime,,"Amy Winehouse is one of the most iconic artists of the 21st century. Her sound, style and honesty set her apart from the rest as truly one of a kind. Thanks to her monumental album Back To ...",Remone Jones,"Blake Fielder-Civil, Peter Hughes, Jennifer Otter Bickerdike, Jason Payne-James",
Brain Hunter: New Breed,2023-01-31,,Horror,5.5,A new breed of Brain Hunter has emerged to hunt humans for their brains in New York City. FBI agent Maxine Richards teams up with a retired detective from Wisconsin James Slant who has come face to face and battled this creature before.,"Michelle DiBernardo, Robert Resto","Maritza Brikisak, John Fiore, Ira Berkowitz, Rob Cobasky",43
Exceptional Beings,2023-01-31,,Fantasy,7.6,"Two Supernatural Beings begin to question their Godhood, when they encounter a human being, an ordinary woman with an uncanny essence, who doesn't conform to their thousands of years of ...","Njedeh Anthony, Christian Kazadi","Eric Roberts, Helena-Alexis Seymour, Chelsea Rose Cook, Clark Moore",19
Mr. Anderson's Possessed Car,2023-01-31,66,Comedy,7.8,Thomas Anderson is a Texas Jesus freak who naively buys a possessed car from a sleazy mechanic and has to go through hell to get rid of it. What he doesn't know is that a drunken criminal ...,Maria Galindo,"Tony Chainsaw, Rose Galvan, Mark Gratton, Michelle Guerrero",18
First Snow of Summer,2023-01-31,90,Romance,7.4,"Follows Alexander, a young man committed to never fall in love, until he meets Caro in a small subway hatter store.",Chris Raiber,"Thomas Prenn, Verena Altenberger, Margarete Tiesel, Harald Windisch",42
Let's Meet Halfway,2023-01-31,,Romance,,"A film by Dana Dveris and Max Schmitz about a long distance couple falling out of love, set in Northern CA. Charlie and Avery meet once a month in a rural town between them in an attempt to...","Dana Dveris, Max Schmitz","Sole Bovelli, Lesley Grant, Jerri Manthey, Ella Price",
Witchblossom,2023-01-31,,Scifi,,Witches disrupt plans to build a base on the dark side of the moon.,M. Wild,"Ben Anderson, Shannon Bengston, Douglas M. Eames, Selin Genç",
Odin malen'kiy nochnoy sekret,2023-01-31,90,Drama,8.3,"Fourteen-year-old Mira wants to spend New Year's Eve with her friend Lera. Initially, her stepfather disagrees. But, after a tense family dinner, she is given permission.",Nataliya Meshchaninova,,16
The House: Director's Cut,2023-01-31,106,"Comedy, Drama",3.5,"Joe, an architecture student, loses his parents and ends up destitute. Homeless, he gets invited to live with a bunch of squatters living in a boarded-up old house, their messed-up situation a darkly comedic, dramatic character study.",David Krae,"Shaun Austin-Olsen, Sarain Boylan, Maggie Castle, Matthew Finlason",7
Love & Drugs 3: The Ultimate Sacrifice,2023-01-31,,Drama,,,DeMarcus Bailey,"Jerrica Roy, Kenny Gardner, Kris D'Sha, DeMarcus Bailey",
Open Luv,2023-01-31,,Comedy,,"Reeling from a recent break-up with his girlfriend of two years, Anderson Hunt, is also going through a tough time with his crypto currency business. In the mist of these difficult times, ...",Reuben Johnson,"Teresa Celeste, Joia Danai, Steven Alan Davis, Jessica Lynn Diaz",
The Nothingness Club - Não Sou Nada,2023-01-31,92,Drama,5.5,"Pessoa famously published under many heteronyms: around 75 different names, each with fully fleshed out backgrounds, styles, appearances and philosophies. Taking this a step further, Não ...",Edgar Pêra,"Marina Albuquerque, David Almeida, Pedro Bernardino, Miguel Borges",12
Pulpit Gangster,2023-01-31,135,"Crime, Drama, Thriller",7.8,"Based on a true story. Pastor Arthur Allen Jr. (Rashaan Matthews) of the House of Prayer in Atlanta, takes his experience of manipulation and street hustling to the pulpit. He later ...",Xavier Rivers,"Andrea Alvarez, Sean Bennett, Shanice Blow, Nasim Bowlus",6
The Kidnapping of the Bride,2023-01-31,30,,7.4,Luisa from Argentina and Fred from Germany are confronted with their social roles at their wedding. The German tradition of kidnapping the bride shakes the couple's equality. There is no room for love in this role-play of marriag,Sophia Mocorrea,"Rai Todoroff, David Bruning, Anne Kulbatzki, Tatiana Saphir",10
The Black Cyclone,2023-01-31,,Drama,,Charles Follis the first African American professional football player. A son of former slaves battles racism and finds in himself the fortitude to persevere as a champion and a true American hero.,,,
The Color of Greene,2023-01-31,90,Action,,,Felicia Rivers,"Taveon Aiken, Brittney Anderson, Bee Badd, Tyler Burt",
Freddie,2023-01-31,49,Music,,Freddie Mercury was known for his flamboyant stage persona and four-octave vocal range - the lead singer of Queen defied the conventions of a typical rock frontman. He paved the way for ...,Finlay Bald,"Kashmira Bulsara, Paul Gambaccini, Rosie Horide, Mick Rock",
Playing with Fire,2023-01-31,,Comedy,,,Clyde Risley Jones,"Jay Dorsey, Dominique DuVernay, Omer Jamal, Trazi Lashawn",
Famous,2023-01-31,,"Horror, Thriller",,"A suspected suicide turns mysterious when the victim, the worlds most famous singer, returns to do one final concert...Live.",David Skato,Baldwin C. Sykes,
Manny Pacquiao: Unstoppable Force,2023-01-31,66,Sport,,"While the sport of boxing requires sacrifice, discipline, concentration, and determination for Manny Pacquiao, it was survival.",Piers Garland,"Bob Arum, Rodrigo R. Duterte, Ricky Hatton, Floyd Mayweather Jr.",
Rahas kiyana kandu,2023-01-31,87,Drama,8.2,Young people in Sri Lanka commit suicide en masse. The government blames this on a supernatural virus that must be fought with an ancient rit,Jagath Manuwarna,"Sarath Kothalawala, Dharmapriya Dias, Priyantha Sirikumara, Chaminda Sampath Jayaweera",8
Bed of Nails,2023-01-31,104,Horror,,"Goth kids cut through rural Florida where they are confronted by four rednecks. After accidentally killing one of the kids, the rednecks kill the remaining two kids but one of the kids returns from the grave to enact a brutal reveng",Michael Malott,"Mark Francis, Carson Carollo, Hannah Denney, Kenny Vathauer",
Karate Ghost,2023-01-31,,Horror,,,Bobby Canipe Jr.,"Joe Borlik, James Balsamo, Charles Wright, Jamie Apple",
Silent Ghosts,2023-01-31,,,,"One morning, a young amateur photographer parks his motorcycle at the side of the mountain road and wanders through the wilderness, where he comes upon a woman, swaddled in white as though ...",Heng Yang,"Xuchun Xue, Mao Xuewen, Liang Yu, Haoran Zhang",
Cinema by Mani Meraj,2023-01-31,,Comedy,,,Syed Amjad Hussain,"Jaymini Rajput, Kundan Alexzed, Mani Meraj, Vishal Wakchaure",
Aboud @ Home,2023-01-31,81,Comedy,3.8,Two young boys must work together to stop robbers from breaking in after their family leaves them home alone during the COVID-19 Lockdown.,Khaled Al-Mufaidi,"Khaled Al Ajeerb, Khaled Al-Mufaidi, Bader Al Atwan, Ahmed Bin Hussain",9
Third Love,2023-01-31,105,"Romance, Thriller",,It's a story about some teen aged boy and girl of a University. A romantic story but in this story viewers will get a heavy sad and deep message. Which will make them realized a universal truth about transgender people and their feelings.,Borhan Khan,"Fazlur Rahman Babu, Borhan Khan, Erin Michele Soto, Masud Milon",
Rhythm in Blues,2023-01-31,110,"Drama, Musical",,"Aging out of a broken system, three foster siblings' paths from East New York - school, service, streets - are detoured when mothers reappear, forcing them to lean on African rhythms and heal their own wounds without benefits.",Tamika R. Guishard,"Curtiss Cook Jr., Tristan Mack Wilds, Kellye Janel",
One Dark Secret,2023-01-31,,,,A group of kids go into the woods and experience a super natural horror that is haunting them and now brings them back together 25 years later to discover the truth that was hidden years ago ..,Geovanni Molina,"Geovanni Molina, Deanna Rashell, Jonathan G. Rodriguez, Coleman Nelson",
Never Enough,2023-01-31,,Drama,,,Okey Ifeanyi,"Caroline Abua, Kendra Aninyei, Uzor Arukwe, Christian Colman",
Stuck in Lust,2023-01-31,114,Drama,,,Emmanuel Anyaka,"Lydia Achebe, Vivian Gabriel, Desmond A. Ken, Austin Ogbuefi",
Bravado,2023-01-31,32,Drama,,"A comedy-drama about a middle-aged creative writing instructor struggling with the recent suicide of one of his students, a divorce, a strangely unfolding Eco-anxiety (Solastalgia) and his ...",Tom Beaver,"Tom Beaver, Christian Estrada, Denali Huff, Chelsea Maclaren",
The Lost Chronicles,2023-01-31,,Horror,,"The terror begins for several people when nightmares become reality and they deal with stalkers, murders and monsters.",Frank Palangi,"Sloan Anderson, Pete Baez, Angelina Greene, Rob Hungerford",
Love & Brotherhood Sequel,2023-01-31,78,Drama,,,Jay Horn,"Conrad Hilton, Jay Horn, Nate Jackson, Cortney Ketchum",
Line of Heart,2023-01-31,91,Drama,,,Great Valentine Edochie,"Tobechukwu Aghaebita, Lemuel Bawa, Blessing Chukwu, Ray Emodi",
Saudades do futuro,2023-01-31,120,Crime,,"An obsolete and tired assassin, stuck in an endless cycle where past and future merge, gets a new mission from his boss. To kill three targets.",Canuto,"Carlos Centeio, Diamantina da Luz Canuto, Thomas Hornig, João Leonel",
Vildanden,2023-01-31,80,Drama,,"Summer, 1884. Hedvig lives with her elder sister and brother in a run down house on the Swedish island of Gotland. Her siblings are running a photography business that they barely can make ...",Nadja Ericsson,"Hedda Hultman, Julia Sjölin, Eugene Sundelius von Rosen, Karin Lindstén",
Don't Answer,2023-01-31,,Horror,,,Anthony Leone,"Amy Cay, Breaunna Lake, Anne Schreiber",
The Jadon264 Movie,2023-01-31,64,Action,8.8,"When an insane, greedy, violent puppet named Spamtom tries to steal Jadon's channel, Jadon and his friend must go on a time traveling adventure to stop him.",Jadon264,"FlyerMation, FoxyBlue, Jadon264, Super Sonic Light",10
Thiiird,2023-01-31,95,Mystery,8.5,"In a village outside Beirut, a mechanic receives many visitors who need to repair their cars. He soon realizes that he not only has to fix their cars, but has to fix them as well.",Karim Kassem,"Mohamad Alayan, Fouad Mahouly",22
ParlaNchíno Ateo: Errorista Comunista 36,2023-01-31,76,Comedy,,,Jorge Luis Villacorta Santamato,Jorge Luis Villacorta Santamato,
Sangharshana,2023-01-31,,"Romance, Thriller",,,S. Chinna Venkatesh,"Chaithanya Pasupuleti, Rasheeda Bhanu",
Everybody Dies Trying to Make a Masterpiece,2023-01-31,,,,,Gustavo von Ha,"Phoebe Legere, Cassie Chao, Elana Herzog, Alexis Okeowo",
Wer wir einmal sein wollten,2023-01-31,82,Drama,,"Anna works at an acting school and now wants to study law. Working hard for her independence, Anna visibly flounders somewhere between familial responsibility and autonomy when her brother Patrick shows up with a black eye.",Özgür Anil,Nikolaus Barton,
For the sake of Ava,2023-01-31,,Drama,,,Mohsen Seraji,,
Berlin Cake,2023-01-31,80,Drama,,,Mike Colquhoun,"Catherine O'Reilly, Nicolas Carré, Stuart Barham, Laurence Gartel",
Astérix & Obélix: L'Empire du Milieu,2023-02-01,112,"Adventure, Comedy, Family",5.1,"The only daughter of the Chinese emperor Han Xuandi, escapes from a strict prince and seeks help from the Gauls and the two brave warriors Asterix and Obelix.",Guillaume Canet,"Guillaume Canet, Gilles Lellouche, Vincent Cassel, Jonathan Cohen",6573
Cade: The Tortured Crossing,2023-02-01,96,"Mystery, Scifi, Thriller",8.6,Neil Breen stars as an identical twin brother who restores an old mysterious mental asylum. He takes it upon himself to mystically train the patients as warriors for humanity and justice.,Neil Breen,"Neil Breen, Gwendolyn Brown, Nicole Butler, Jeremy Chavez",434
Unexpected,2023-02-01,106,"Comedy, Drama, Romance",6.5,"Music critic Bob is out of a job, addicted to Zoloft, and trying to wrangle the menagerie of animals that his wife Amy has accumulated. Will adopting a baby cure their existential angst? Or should they just rescue another duck?",David Hunt,"Anna Camp, Joseph Mazzello, Neil Flynn, Ryann Shane",47
Joram,2023-02-01,134,"Action, Adventure, Crime",7.8,It follows a father who is on the run with his little baby girl to escape the ghosts of his past and the forces that want him dead.,Devashish Makhija,"Mohd. Zeeshan Ayyub, Manoj Bajpayee, Tannishtha Chatterjee, Rajshri Deshpande",27
Captain Faggotron Saves the Universe,2023-02-01,75,Comedy,5.9,"A young priest is intent on denying his homosexuality, and he's not doing a very good job. Meanwhile, his alien ex-lover is plotting to turn the Earth into a homosexual planet during a ...",Harvey Rabbit,"Rodrigo Garcia Alves, Bishop Black, Tchivett, Pina Brutal",28
Time's Paradox,2023-02-01,130,"History, Scifi",8.9,"""Time's Paradox"" follows Juwel Chowdhury, a young and ambitious scientist, as he joins forces with the fearless time traveler, Ricky Riyaf. Together, they embark on a dangerous mission to ...",Juwel Chowdhury,"Juwel Chowdhury, Ricky Riyaf",13
Mommies Group,2023-02-01,90,Comedy,4.3,"A school WhatsApp group unites three mothers from three different social classes. Mariam and Nadia suffer from having a bad relationship with their children. When they find out that their children don't like them, Hana helps them.",,,90
Mates piens,2023-02-01,110,"Biography, Drama",7.3,"A young, promising doctor destroyed by the Soviet totalitarian regime deprives her daughter of breast milk.",Inara Kolmane,"Liene Beinarovica, Guntis Berelis, Zane Bierande, Indra Brike",142
